ID,Age,Height,Weight,Nationality,Positions,Club
158023,34,170,72,Argentina,"RW,ST,CF",Paris Saint-Germain
188545,32,185,81,Poland,ST,FC Bayern M眉nchen
20801,36,187,83,Portugal,"ST,LW",Manchester United
231747,22,182,73,France,"ST,LW",Paris Saint-Germain
200389,28,188,87,Slovenia,GK,Atl茅tico de Madrid
192985,30,181,70,Belgium,"CM,CAM",Manchester City
190871,29,175,68,Brazil,"LW,CAM",Paris Saint-Germain
215914,30,168,70,France,"CDM,CM",Chelsea
202126,27,188,89,England,ST,Tottenham Hotspur
192448,29,187,85,Germany,GK,FC Barcelona
167495,35,193,93,Germany,GK,FC Bayern M眉nchen
200104,28,183,78,Korea Republic,"LM,CF,LW",Tottenham Hotspur
200145,29,185,84,Brazil,CDM,Real Madrid CF
165153,33,185,81,France,"CF,ST",Real Madrid CF
192119,29,199,96,Belgium,GK,Real Madrid CF
208722,29,175,69,Senegal,LW,Liverpool
203376,29,193,92,Netherlands,CB,Liverpool
230621,22,196,90,Italy,GK,Paris Saint-Germain
209331,29,175,71,Egypt,RW,Liverpool
210257,27,188,86,Brazil,GK,Manchester City
212622,26,177,75,Germany,"CDM,RB",FC Bayern M眉nchen
212831,28,191,91,Brazil,GK,Liverpool
192505,28,191,94,Belgium,ST,Chelsea
155862,35,184,82,Spain,CB,Paris Saint-Germain
176580,34,182,83,Uruguay,ST,Atl茅tico de Madrid
182521,31,183,76,Germany,CM,Real Madrid CF
239085,20,194,94,Norway,ST,Borussia Dortmund
193041,34,185,80,Costa Rica,GK,Paris Saint-Germain
212198,26,179,69,Portugal,CAM,Manchester United
202652,26,170,69,England,"LW,RW",Manchester City
199556,28,165,60,Italy,"CM,CAM",Paris Saint-Germain
177003,35,172,66,Croatia,CM,Real Madrid CF
183898,33,180,69,Argentina,"RW,LW",Paris Saint-Germain
186153,31,195,90,Poland,GK,Juventus
189596,31,185,76,Germany,"CAM,RM,RW",FC Bayern M眉nchen
192387,31,185,85,Italy,ST,Lazio
195864,28,191,84,France,"CM,LM",Manchester United
209658,26,189,82,Germany,"CM,CDM",FC Bayern M眉nchen
207865,27,183,75,Brazil,"CB,CDM",Paris Saint-Germain
211110,27,177,75,Argentina,"CF,CAM",Juventus
216267,27,178,64,Scotland,LB,Liverpool
228702,24,180,74,Netherlands,"CM,CDM,CB",FC Barcelona
231281,22,180,69,England,RB,Liverpool
239818,24,187,82,Portugal,CB,Manchester City
153079,33,173,70,Argentina,ST,FC Barcelona
167948,34,188,82,France,GK,Tottenham Hotspur
233049,21,180,76,England,"RM,CF,LM",Manchester United
201024,30,187,89,Senegal,CB,Napoli
232363,26,188,80,Slovakia,CB,Inter
201535,28,191,81,France,CB,Manchester United
198219,30,163,59,Italy,"LW,CF",Napoli
192984,29,197,86,Belgium,GK,VfL Wolfsburg
189513,32,182,74,Spain,CM,Villarreal CF
189511,32,189,76,Spain,"CDM,CM",FC Barcelona
189509,30,174,70,Spain,"CM,CDM",Liverpool
189332,32,170,68,Spain,"LB,LM",FC Barcelona
178603,32,191,96,Germany,CB,Borussia Dortmund
138956,36,187,85,Italy,CB,Juventus
162835,36,193,92,Slovenia,GK,Inter
231866,25,191,82,Spain,CDM,Manchester City
226161,26,184,74,Spain,"CM,RM,ST",Atl茅tico de Madrid
204485,30,179,67,Algeria,"RW,RM",Manchester City
208093,29,180,77,Spain,"ST,RM,RW",Villarreal CF
208830,34,179,74,England,ST,Leicester City
210514,27,182,74,Portugal,"RB,LB",Manchester City
212218,27,191,85,Spain,CB,Manchester City
213345,25,180,76,France,"LM,RM,LW",FC Bayern M眉nchen
218667,26,173,64,Portugal,"CAM,CM,RW",Manchester City
209499,27,188,78,Brazil,"CDM,CB",Liverpool
201942,29,181,76,Brazil,CF,Liverpool
194765,30,176,73,France,"ST,LW,RW",Atl茅tico de Madrid
183277,30,175,74,Belgium,LW,Real Madrid CF
185122,31,191,86,Hungary,GK,RB Leipzig
179813,34,185,77,Uruguay,ST,Manchester United
177683,32,183,79,Switzerland,GK,Borussia M枚nchengladbach
168542,35,173,67,Spain,"CAM,CM",Real Sociedad
202556,27,176,78,Netherlands,"CF,LW,CAM",FC Barcelona
163587,34,189,89,Denmark,GK,Leicester City
143076,33,167,68,Argentina,"CAM,CF,CM",Sevilla FC
186942,30,180,80,Germany,"CM,CDM",Manchester City
188350,32,180,71,Germany,"CAM,CF",Borussia Dortmund
184344,34,190,85,Italy,CB,Juventus
188377,31,183,83,England,RB,Manchester City
188567,32,187,80,Gabon,"ST,LW,LM",Arsenal
193747,29,176,75,Spain,"CM,CDM",Atl茅tico de Madrid
164240,36,183,79,Brazil,CB,Chelsea
206113,25,176,77,Germany,"RM,LM,RW",FC Bayern M眉nchen
198176,29,189,78,Netherlands,CB,Inter
235243,21,189,89,Netherlands,CB,Juventus
235212,22,181,73,Morocco,"RB,RWB",Paris Saint-Germain
231677,23,186,70,England,"LM,ST",Manchester United
231478,23,174,72,Argentina,ST,Inter
230142,24,181,79,Spain,"LW,RW",Real Sociedad
226790,24,183,74,Nigeria,"CDM,CM",Leicester City
223848,26,191,76,Serbia,"CM,CDM,CAM",Lazio
205498,29,180,68,Italy,"CM,CDM",Chelsea
204963,29,173,73,Spain,RB,Real Madrid CF
200458,27,178,74,France,LB,Everton
197445,29,180,78,Austria,"CB,LB",Real Madrid CF
198706,28,183,74,Spain,"CAM,CM,CF",Lazio
199434,32,181,76,Serbia,"LW,CF,CAM",Ajax
199451,30,170,68,France,ST,AS Monaco
237692,21,171,69,England,"CAM,LW,CM",Manchester City
200647,33,190,79,Slovenia,"CF,ST",Atalanta
202811,28,195,88,Argentina,GK,Aston Villa
192629,33,176,67,Spain,"ST,RW",RC Celta de Vigo
203263,28,194,100,England,CB,Manchester United
193080,30,192,76,Spain,GK,Manchester United
152729,34,194,85,Spain,CB,FC Barcelona
186345,30,173,69,England,"RB,RWB,RM",Atl茅tico de Madrid
184134,33,183,76,Brazil,"CDM,CM",Sevilla FC
183711,31,182,80,England,"CDM,CM",Liverpool
181291,30,175,74,Netherlands,"CM,CDM",Paris Saint-Germain
175943,34,169,61,Belgium,"CF,ST,CAM",Napoli
204923,27,178,76,Austria,"CM,CDM,CAM",FC Bayern M眉nchen
146536,35,172,60,Spain,"RB,RM",Sevilla FC
41236,39,195,95,Sweden,ST,AC Milan
235790,22,188,82,Germany,"CAM,CF,CM",Chelsea
204639,30,187,80,Montenegro,CB,Atl茅tico de Madrid
232656,23,184,81,France,LB,AC Milan
216393,24,176,72,Belgium,"CM,CDM",Leicester City
206517,25,180,81,England,"LW,LM,CAM",Manchester City
216594,27,173,75,France,"CAM,RM,ST",Real Betis Balompi茅
222492,25,183,80,Germany,"RM,LM",FC Bayern M眉nchen
224232,24,172,68,Italy,CM,Inter
224334,29,172,69,Argentina,"LB,LM",Sevilla FC
216352,28,181,68,Croatia,"CDM,CM",Inter
228941,25,185,84,Portugal,ST,RB Leipzig
230938,24,183,88,C么te d'Ivoire,"CDM,CM",AC Milan
205988,25,181,75,England,LB,Manchester United
207862,27,191,86,Germany,CB,Borussia M枚nchengladbach
207863,32,190,84,Brazil,CB,Atl茅tico de Madrid
208418,27,185,73,Belgium,"LM,ST",Atl茅tico de Madrid
208574,28,184,82,Serbia,"LM,LWB",Eintracht Frankfurt
208670,28,181,65,Morocco,"RW,CAM",Chelsea
209889,27,170,71,Portugal,"LB,LM",Borussia Dortmund
210243,27,175,70,Portugal,"RB,RM",Leicester City
212188,25,180,76,Germany,"ST,LW",Chelsea
215698,25,191,89,France,GK,AC Milan
216460,26,185,79,Uruguay,CB,Atl茅tico de Madrid
197655,30,196,92,Uruguay,CB,Sporting CP
203574,27,188,76,England,CB,Manchester City
199914,30,175,74,Brazil,"CDM,CM",Everton
200610,28,179,85,Germany,"ST,CF",AS Monaco
201153,28,190,84,Spain,ST,Juventus
201399,28,181,75,Argentina,ST,Paris Saint-Germain
202884,28,186,75,Italy,"LWB,LB,LM",Roma
203841,29,199,76,England,GK,Burnley
204838,30,188,81,Mexico,ST,Wolverhampton Wanderers
199845,33,192,88,Italy,CB,Lazio
192774,30,189,83,Greece,CB,Napoli
205452,28,190,85,Germany,CB,Chelsea
183907,32,190,94,Germany,CB,Olympique Lyonnais
135507,36,179,67,Brazil,"CDM,CB",Manchester City
169416,32,177,77,Mexico,"RW,LW,CAM",Los Angeles FC
177413,32,186,81,Belgium,"CDM,CM",Borussia Dortmund
178750,32,189,87,Spain,GK,Villarreal CF
179645,32,190,86,Denmark,CB,AC Milan
180930,35,193,80,Bosnia and Herzegovina,ST,Inter
184087,32,186,81,Belgium,CB,Free agent
192883,32,177,75,Armenia,"CF,RM,RW",Roma
184432,31,178,77,Spain,"CB,RWB",Chelsea
189575,28,170,66,Spain,"CAM,RM,LM",Athletic Club de Bilbao
190286,30,176,65,Spain,"CM,CDM,LM",Real Betis Balompi茅
