ID,Club,ClubNumber,ClubJoined
158023,Paris Saint-Germain,30,2021
188545,FC Bayern München,9,2014
20801,Manchester United,7,2021
231747,Paris Saint-Germain,7,2018
200389,Atlético de Madrid,13,2014
192985,Manchester City,17,2015
190871,Paris Saint-Germain,10,2017
215914,Chelsea,7,2016
202126,Tottenham Hotspur,10,2010
192448,FC Barcelona,1,2014
167495,FC Bayern München,1,2011
200104,Tottenham Hotspur,7,2015
200145,Real Madrid CF,14,2013
165153,Real Madrid CF,9,2009
192119,Real Madrid CF,1,2018
208722,Liverpool,10,2016
203376,Liverpool,4,2018
230621,Paris Saint-Germain,50,2021
209331,Liverpool,11,2017
210257,Manchester City,31,2017
212622,FC Bayern München,6,2015
212831,Liverpool,1,2018
192505,Chelsea,9,2021
155862,Paris Saint-Germain,4,2021
176580,Atlético de Madrid,9,2020
182521,Real Madrid CF,8,2014
239085,Borussia Dortmund,9,2020
193041,Paris Saint-Germain,1,2019
212198,Manchester United,18,2020
202652,Manchester City,7,2015
199556,Paris Saint-Germain,6,2012
177003,Real Madrid CF,10,2012
183898,Paris Saint-Germain,11,2015
186153,Juventus,1,2017
189596,FC Bayern München,25,2008
192387,Lazio,17,2016
195864,Manchester United,6,2016
209658,FC Bayern München,8,2018
207865,Paris Saint-Germain,5,2013
211110,Juventus,10,2015
216267,Liverpool,26,2017
228702,FC Barcelona,21,2019
231281,Liverpool,66,2015
239818,Manchester City,3,2020
153079,FC Barcelona,19,2021
167948,Tottenham Hotspur,1,2012
233049,Manchester United,25,2021
201024,Napoli,26,2014
232363,Inter,37,2017
201535,Manchester United,19,2021
198219,Napoli,24,2010
192984,VfL Wolfsburg,1,2015
189513,Villarreal CF,5,2020
189511,FC Barcelona,5,2008
189509,Liverpool,6,2020
189332,FC Barcelona,18,2012
178603,Borussia Dortmund,15,2019
138956,Juventus,3,2005
162835,Inter,1,2012
231866,Manchester City,16,2019
226161,Atlético de Madrid,14,2019
204485,Manchester City,26,2018
208093,Villarreal CF,7,2018
208830,Leicester City,9,2012
210514,Manchester City,27,2019
212218,Manchester City,14,2018
213345,FC Bayern München,11,2015
218667,Manchester City,20,2017
209499,Liverpool,3,2018
201942,Liverpool,9,2015
194765,Atlético de Madrid,8,2019
183277,Real Madrid CF,7,2019
185122,RB Leipzig,1,2015
179813,Manchester United,21,2020
177683,Borussia Mönchengladbach,1,2014
168542,Real Sociedad,21,2020
202556,FC Barcelona,9,2021
163587,Leicester City,1,2011
143076,Sevilla FC,24,2021
