ID,FullName,ValueEUR,WageEUR,ClubPosition,ClubNumber,NationalTeam,PreferredFoot,IntReputation,AttackingWorkRate,DefensiveWorkRate
158023,Lionel Messi,78000000,320000,RW,30,Argentina,Left,5,Medium,Low
188545,Robert Lewandowski,119500000,270000,ST,9,Poland,Right,5,High,Medium
20801,C. Ronaldo dos Santos Aveiro,45000000,270000,ST,7,Portugal,Right,5,High,Low
231747,Kylian Mbappé,194000000,230000,ST,7,France,Right,4,High,Low
200389,Jan Oblak,112000000,130000,GK,13,Not in team,Right,5,Medium,Medium
192985,Kevin De Bruyne,125500000,350000,CM,17,Belgium,Right,4,High,High
190871,Neymar da Silva Santos Jr.,129000000,270000,LW,10,Not in team,Right,5,High,Medium
215914,N'Golo Kanté,100000000,230000,CM,7,France,Right,4,Medium,High
202126,Harry Kane,129500000,240000,ST,10,England,Right,4,High,High
192448,Marc-André ter Stegen,99000000,250000,GK,1,Not in team,Right,4,Medium,Medium
167495,Manuel Neuer,13500000,86000,GK,1,Germany,Right,5,Medium,Medium
200104,Heung Min Son,104000000,220000,LW,7,Not in team,Right,4,High,High
200145,Carlos Henrique Venancio Casimiro,88000000,310000,CDM,14,Not in team,Right,3,High,High
165153,Karim Benzema,66000000,350000,CF,9,France,Right,4,Medium,Medium
192119,Thibaut Courtois,85500000,250000,GK,1,Belgium,Left,4,Medium,Medium
208722,Sadio Mané,101000000,270000,LW,10,Not in team,Right,4,High,Medium
203376,Virgil van Dijk,86000000,230000,CB,4,Netherlands,Right,4,Medium,Medium
230621,Gianluigi Donnarumma,119500000,110000,GK,50,Italy,Right,3,Medium,Medium
209331,Mohamed Salah,101000000,270000,RW,11,Not in team,Left,4,High,Medium
210257,Ederson Santana de Moraes,94000000,200000,GK,31,Not in team,Left,3,Medium,Medium
212622,Joshua Kimmich,108000000,160000,CDM,6,Germany,Right,4,High,Medium
212831,Alisson Ramses Becker,82000000,190000,GK,1,Not in team,Right,3,Medium,Medium
