ID,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,GKRating
158023,92,92,93,93,93,92,93,93,90,93,69,67,69,64,53,64,22
188545,92,85,88,88,88,85,89,87,83,87,67,69,67,64,63,64,22
20801,91,88,89,89,89,88,89,89,81,89,66,62,66,63,56,63,23
231747,91,90,90,90,90,90,92,92,84,92,70,66,70,66,57,66,21
200389,36,32,35,35,35,32,41,38,41,38,35,39,35,35,36,35,92
192985,86,88,87,87,87,88,91,91,91,91,82,83,82,78,72,78,24
190871,86,90,88,88,88,90,91,91,85,91,70,66,70,65,53,65,23
215914,75,77,77,77,77,77,81,82,85,82,88,90,88,88,87,88,23
202126,90,84,86,86,86,84,88,87,85,87,70,71,70,67,64,67,23
192448,38,35,38,38,38,35,45,42,48,42,36,44,36,34,36,34,91
167495,43,40,43,43,43,40,50,47,53,47,39,46,39,38,37,38,90
200104,88,87,87,87,87,87,89,89,83,89,71,67,71,67,57,67,22
200145,79,72,76,76,76,72,79,77,85,77,83,89,83,84,89,84,24
165153,89,85,87,87,87,85,89,87,83,87,66,65,66,62,58,62,21
192119,34,29,31,31,31,29,35,34,35,34,32,34,32,32,32,32,89
208722,89,87,88,88,88,87,89,89,83,89,71,68,71,68,62,68,22
203376,73,67,69,69,69,67,73,73,78,73,82,87,82,84,89,84,23
230621,37,34,36,36,36,34,41,38,40,38,34,37,34,34,34,34,90
209331,88,88,88,88,88,88,89,89,85,89,74,71,74,70,61,70,25
210257,43,41,43,43,43,41,50,47,52,47,40,47,40,39,38,39,90
212622,80,82,81,81,81,82,86,86,89,86,88,89,88,86,84,86,24
212831,40,35,38,38,38,35,43,41,43,41,34,38,34,33,34,33,90
192505,88,81,84,84,84,81,83,83,77,83,64,62,64,61,60,61,22
155862,79,73,75,75,75,73,78,77,82,77,84,88,84,86,88,86,21
176580,88,84,86,86,86,84,88,86,83,86,69,70,69,66,64,66,40
182521,80,80,81,81,81,80,86,84,88,84,80,84,80,77,74,77,22
239085,90,80,84,84,84,80,84,81,76,81,65,66,65,63,63,63,22
193041,37,35,37,37,37,35,43,40,42,40,35,39,35,34,35,34,88
212198,86,85,85,85,85,85,89,89,89,89,83,83,83,80,76,80,24
202652,84,87,86,86,86,87,89,88,81,88,72,67,72,68,58,68,24
199556,74,81,79,79,79,81,87,85,87,85,85,87,85,83,80,83,24
177003,79,83,82,82,82,83,87,87,87,87,84,84,84,81,75,81,22
183898,82,85,84,84,84,85,87,87,84,87,73,71,73,69,61,69,21
186153,34,28,31,31,31,28,35,34,36,34,31,34,31,31,32,31,87
189596,86,83,84,84,84,83,87,86,85,86,74,74,74,72,66,72,23
192387,87,81,84,84,84,81,84,82,76,82,64,63,64,62,59,62,20
195864,85,82,83,83,83,82,87,86,87,86,77,81,77,75,75,75,16
209658,87,83,85,85,85,83,88,87,88,87,86,87,86,85,86,85,22
207865,73,72,72,72,72,72,77,78,82,78,86,88,86,87,89,87,21
211110,85,87,86,86,86,87,88,88,84,88,69,66,69,65,55,65,17
216267,75,79,77,77,77,79,82,84,84,84,88,85,88,87,82,87,21
228702,81,83,82,82,82,83,88,88,89,88,86,86,86,85,81,85,21
231281,78,80,79,79,79,80,84,85,87,85,87,86,87,86,81,86,22
239818,64,59,60,60,60,59,64,67,73,67,81,86,81,83,89,83,20
153079,87,83,85,85,85,83,87,83,78,83,60,60,60,57,53,57,24
167948,34,33,34,34,34,33,41,39,42,39,38,41,38,37,33,37,87
233049,81,85,84,84,84,85,88,88,82,88,69,65,69,63,51,63,22
201024,59,55,57,57,57,55,60,62,65,62,76,79,76,79,86,79,20
232363,63,60,60,60,60,60,63,65,67,65,79,80,79,81,88,81,22
201535,69,64,66,66,66,64,70,70,75,70,80,84,80,83,88,83,21
198219,80,85,84,84,84,85,86,86,83,86,66,62,66,61,47,61,19
192984,35,29,31,31,31,29,35,34,36,34,32,35,32,32,32,32,87
189513,79,80,81,81,81,80,85,83,86,83,79,82,79,76,73,76,19
189511,73,73,75,75,75,73,81,78,85,78,80,86,80,79,82,79,20
189509,77,81,80,80,80,81,86,85,86,85,80,83,80,78,74,78,21
